accelerometer,timeInSeconds,distance,isCar,isOnCall,score
0.12 , 0.2545 , 0.22835557686200714 , 0 , 1 , 46.025892498569156
0.74 , 0.00786111111111111 , 0.0022406986847826223 , 1 , 0 , 46.639668553701924
0.32 , 0.2554166666666667 , 0.20220420847613044 , 0 , 1 , 36.21507308462275
0.79 , 0.013 , 0.004620400220285658 , 1 , 0 , 46.36298298818557
0.31 , 0.42791666666666667 , 0.4578208003172574 , 0 , 1 , 43.04822073087642
0.96 , 0.014027777777777778 , 0.0064936275528682365 , 0 , 0 , 41.174341473078414
0.53 , 0.5024722222222222 , 0.5244649312256535 , 1 , 1 , 32.98578871875885
0.21 , 0.009527777777777777 , 0.005264332974803126 , 0 , 0 , 62.73515090563687
0.47 , 0.011472222222222222 , 0.004943465597583739 , 0 , 1 , 33.730800458818365
0.99 , 0.06983333333333333 , 0.032881000528554444 , 0 , 0 , 43.14265607712907
0.6 , 0.012611111111111111 , 0.00853134939824032 , 0 , 1 , 29.52785224857937
0.39 , 0.29144444444444445 , 0.22533096628293853 , 0 , 0 , 56.42507052447034
0.81 , 0.014583333333333334 , 0.004286621914585342 , 0 , 0 , 47.020808017469356
0.45 , 0.01875 , 0.011382589251470954 , 1 , 1 , 34.525570185090494
0.11 , 0.15733333333333333 , 0.18417242421170968 , 0 , 0 , 69.66155898255518
0.96 , 0.14844444444444443 , 0.09584009520724675 , 0 , 1 , 17.644315406191726
0.67 , 0.005583333333333333 , 0.0029016069650596357 , 1 , 0 , 50.30474344065923
0.19 , 0.54675 , 0.37969064803021735 , 0 , 0 , 63.78979272001739
0.36 , 0.127 , 0.07985389654476689 , 0 , 1 , 37.124593660517306
0.47 , 0.19127777777777777 , 0.12991107104602026 , 0 , 0 , 55.17637144616069
0.56 , 0.3125833333333333 , 0.36041607900088524 , 0 , 0 , 55.060284050788034
0.36 , 0.01138888888888889 , 0.0022242599509187644 , 1 , 1 , 38.171405638190855
0.68 , 0.015527777777777777 , 0.010313454627117545 , 1 , 1 , 30.346176892768987
0.27 , 0.18030555555555555 , 0.12658712254038965 , 0 , 0 , 61.69540522616654
0.82 , 0.2045 , 0.14675913575630065 , 0 , 0 , 46.23340252780486
0.17 , 0.25727777777777777 , 0.25347619361847723 , 0 , 1 , 41.840308891879005
0.66 , 0.36733333333333335 , 0.35599179637868295 , 0 , 1 , 31.170338313305194
0.2 , 0.0761388888888889 , 0.03338503361846098 , 0 , 0 , 64.63725096798754
0.27 , 0.2268888888888889 , 0.20249338995517097 , 1 , 1 , 39.61478919935373
0.74 , 0.09461111111111112 , 0.08254479082608428 , 0 , 1 , 25.937739309204083
0.78 , 0.401 , 0.49603672978504193 , 1 , 1 , 30.986211716754593
0.77 , 0.3784166666666667 , 0.26381693774823484 , 1 , 0 , 46.941086981099666
0.63 , 0.18855555555555556 , 0.2097065848761549 , 0 , 1 , 31.84737150543838
0.12 , 0.45952777777777776 , 0.4463858192673618 , 1 , 1 , 44.68537049586807
0.35 , 0.020972222222222222 , 0.007543089219280628 , 1 , 0 , 60.47204625816512
0.17 , 0.20441666666666666 , 0.16679454141967637 , 0 , 1 , 43.31318791088308
0.18 , 0.01386111111111111 , 0.005525377276696016 , 0 , 0 , 64.9981729064402
0.88 , 0.010972222222222222 , 0.0027206147397330713 , 0 , 1 , 21.60365964481429
0.94 , 0.32825 , 0.2648624193929891 , 0 , 0 , 39.00190384859071
0.3 , 0.5130277777777777 , 0.5582616468424634 , 0 , 1 , 41.63041505163921
0.39 , 0.10355555555555555 , 0.08462502624986944 , 1 , 1 , 37.16254587242289
0.33 , 0.0085 , 0.001961870083256495 , 1 , 1 , 39.21442550732019
0.67 , 0.11433333333333333 , 0.10549720895688618 , 1 , 1 , 31.240128229628546
0.83 , 0.5172777777777777 , 0.3237441098901658 , 1 , 1 , 22.12745763007336
